1000 milliseconds	4369 MB/s	68771 short_reads/s	0 short_writes_echo/s	115 cpu_user_milliseconds	686 cpu_system_milliseconds	171 minor_page_faults/s	0 major_page_faults/s	32893 yields/s	13 preempts/s
2000 milliseconds	2932 MB/s	46173 short_reads/s	0 short_writes_echo/s	73 cpu_user_milliseconds	530 cpu_system_milliseconds	3 minor_page_faults/s	0 major_page_faults/s	33428 yields/s	3 preempts/s
3000 milliseconds	3064 MB/s	48271 short_reads/s	0 short_writes_echo/s	114 cpu_user_milliseconds	550 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	33148 yields/s	0 preempts/s
4000 milliseconds	3031 MB/s	47746 short_reads/s	0 short_writes_echo/s	106 cpu_user_milliseconds	557 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	33223 yields/s	0 preempts/s
5000 milliseconds	3100 MB/s	48828 short_reads/s	0 short_writes_echo/s	98 cpu_user_milliseconds	563 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	34064 yields/s	0 preempts/s
6000 milliseconds	2987 MB/s	47020 short_reads/s	0 short_writes_echo/s	79 cpu_user_milliseconds	606 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	30641 yields/s	2 preempts/s
7000 milliseconds	2948 MB/s	46441 short_reads/s	0 short_writes_echo/s	72 cpu_user_milliseconds	597 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	31749 yields/s	1 preempts/s
8000 milliseconds	3050 MB/s	48043 short_reads/s	0 short_writes_echo/s	90 cpu_user_milliseconds	571 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	33477 yields/s	3 preempts/s
9000 milliseconds	3049 MB/s	48036 short_reads/s	0 short_writes_echo/s	79 cpu_user_milliseconds	581 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	33380 yields/s	0 preempts/s
10000 milliseconds	2918 MB/s	45962 short_reads/s	0 short_writes_echo/s	96 cpu_user_milliseconds	558 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	31787 yields/s	0 preempts/s
11000 milliseconds	3024 MB/s	47619 short_reads/s	0 short_writes_echo/s	102 cpu_user_milliseconds	573 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	31929 yields/s	0 preempts/s
12000 milliseconds	3078 MB/s	48478 short_reads/s	0 short_writes_echo/s	105 cpu_user_milliseconds	561 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	32860 yields/s	3 preempts/s
13000 milliseconds	2990 MB/s	47110 short_reads/s	0 short_writes_echo/s	99 cpu_user_milliseconds	571 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	32325 yields/s	0 preempts/s
14000 milliseconds	3069 MB/s	48337 short_reads/s	0 short_writes_echo/s	93 cpu_user_milliseconds	570 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	33638 yields/s	0 preempts/s
15000 milliseconds	3090 MB/s	48672 short_reads/s	0 short_writes_echo/s	92 cpu_user_milliseconds	572 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	33684 yields/s	0 preempts/s
16000 milliseconds	3074 MB/s	48407 short_reads/s	0 short_writes_echo/s	88 cpu_user_milliseconds	580 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	32978 yields/s	4 preempts/s
17000 milliseconds	2959 MB/s	46612 short_reads/s	0 short_writes_echo/s	78 cpu_user_milliseconds	598 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	31673 yields/s	0 preempts/s
18000 milliseconds	3021 MB/s	47582 short_reads/s	0 short_writes_echo/s	101 cpu_user_milliseconds	567 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	32868 yields/s	0 preempts/s
19000 milliseconds	3091 MB/s	48683 short_reads/s	0 short_writes_echo/s	105 cpu_user_milliseconds	566 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	33169 yields/s	1 preempts/s
20000 milliseconds	2864 MB/s	45122 short_reads/s	0 short_writes_echo/s	91 cpu_user_milliseconds	582 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	30628 yields/s	3 preempts/s
21000 milliseconds	2966 MB/s	46726 short_reads/s	0 short_writes_echo/s	114 cpu_user_milliseconds	558 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	31795 yields/s	1 preempts/s
22000 milliseconds	3027 MB/s	47664 short_reads/s	0 short_writes_echo/s	92 cpu_user_milliseconds	576 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	32689 yields/s	2 preempts/s
23000 milliseconds	3096 MB/s	48763 short_reads/s	0 short_writes_echo/s	103 cpu_user_milliseconds	564 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	33510 yields/s	0 preempts/s
