1000 milliseconds	1575 MB/s	7 short_reads/s	0 short_writes_echo/s	69 cpu_user_milliseconds	869 cpu_system_milliseconds	180 minor_page_faults/s	0 major_page_faults/s	82 yields/s	523 preempts/s
2000 milliseconds	1518 MB/s	0 short_reads/s	0 short_writes_echo/s	67 cpu_user_milliseconds	900 cpu_system_milliseconds	3 minor_page_faults/s	0 major_page_faults/s	2 yields/s	352 preempts/s
3000 milliseconds	1526 MB/s	59 short_reads/s	0 short_writes_echo/s	80 cpu_user_milliseconds	829 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	397 yields/s	450 preempts/s
4000 milliseconds	1528 MB/s	1 short_reads/s	0 short_writes_echo/s	92 cpu_user_milliseconds	866 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	5 yields/s	261 preempts/s
5000 milliseconds	1575 MB/s	3 short_reads/s	0 short_writes_echo/s	80 cpu_user_milliseconds	899 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	8 yields/s	192 preempts/s
6000 milliseconds	1911 MB/s	0 short_reads/s	0 short_writes_echo/s	91 cpu_user_milliseconds	901 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	112 preempts/s
7000 milliseconds	1860 MB/s	3 short_reads/s	0 short_writes_echo/s	74 cpu_user_milliseconds	895 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	10 yields/s	153 preempts/s
8000 milliseconds	1647 MB/s	0 short_reads/s	0 short_writes_echo/s	66 cpu_user_milliseconds	921 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	138 preempts/s
9000 milliseconds	1523 MB/s	72 short_reads/s	0 short_writes_echo/s	74 cpu_user_milliseconds	820 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	189 yields/s	531 preempts/s
10000 milliseconds	1589 MB/s	69 short_reads/s	0 short_writes_echo/s	59 cpu_user_milliseconds	859 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	515 yields/s	443 preempts/s
11000 milliseconds	1883 MB/s	0 short_reads/s	0 short_writes_echo/s	102 cpu_user_milliseconds	890 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	96 preempts/s
12000 milliseconds	1783 MB/s	0 short_reads/s	0 short_writes_echo/s	89 cpu_user_milliseconds	901 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	97 preempts/s
13000 milliseconds	1728 MB/s	11 short_reads/s	0 short_writes_echo/s	75 cpu_user_milliseconds	917 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	12 yields/s	38 preempts/s
14000 milliseconds	1695 MB/s	0 short_reads/s	0 short_writes_echo/s	78 cpu_user_milliseconds	905 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1 yields/s	100 preempts/s
15000 milliseconds	1869 MB/s	0 short_reads/s	0 short_writes_echo/s	73 cpu_user_milliseconds	926 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	9 preempts/s
16000 milliseconds	1739 MB/s	4 short_reads/s	0 short_writes_echo/s	79 cpu_user_milliseconds	907 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	56 yields/s	29 preempts/s
17000 milliseconds	1875 MB/s	0 short_reads/s	0 short_writes_echo/s	76 cpu_user_milliseconds	919 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	71 preempts/s
18000 milliseconds	1877 MB/s	0 short_reads/s	0 short_writes_echo/s	81 cpu_user_milliseconds	913 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	102 preempts/s
19000 milliseconds	1893 MB/s	0 short_reads/s	0 short_writes_echo/s	73 cpu_user_milliseconds	921 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	93 preempts/s
20000 milliseconds	1898 MB/s	0 short_reads/s	0 short_writes_echo/s	72 cpu_user_milliseconds	925 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	33 preempts/s
21000 milliseconds	1847 MB/s	0 short_reads/s	0 short_writes_echo/s	59 cpu_user_milliseconds	939 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	30 preempts/s
22000 milliseconds	2008 MB/s	6 short_reads/s	0 short_writes_echo/s	82 cpu_user_milliseconds	916 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	6 yields/s	7 preempts/s
23000 milliseconds	1883 MB/s	0 short_reads/s	0 short_writes_echo/s	88 cpu_user_milliseconds	910 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	6 preempts/s
24000 milliseconds	1724 MB/s	0 short_reads/s	0 short_writes_echo/s	77 cpu_user_milliseconds	921 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	12 preempts/s
25000 milliseconds	1986 MB/s	0 short_reads/s	0 short_writes_echo/s	72 cpu_user_milliseconds	927 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	8 preempts/s
26000 milliseconds	1988 MB/s	0 short_reads/s	0 short_writes_echo/s	76 cpu_user_milliseconds	922 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	19 preempts/s
27000 milliseconds	2000 MB/s	0 short_reads/s	0 short_writes_echo/s	73 cpu_user_milliseconds	923 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	47 preempts/s
28000 milliseconds	2135 MB/s	14 short_reads/s	0 short_writes_echo/s	85 cpu_user_milliseconds	912 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	28 yields/s	3 preempts/s
29000 milliseconds	1990 MB/s	54 short_reads/s	0 short_writes_echo/s	87 cpu_user_milliseconds	907 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	204 yields/s	6 preempts/s
30000 milliseconds	2004 MB/s	0 short_reads/s	0 short_writes_echo/s	91 cpu_user_milliseconds	907 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	3 preempts/s
31000 milliseconds	2130 MB/s	0 short_reads/s	0 short_writes_echo/s	92 cpu_user_milliseconds	906 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	22 preempts/s
32000 milliseconds	2046 MB/s	0 short_reads/s	0 short_writes_echo/s	92 cpu_user_milliseconds	905 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	29 preempts/s
33000 milliseconds	1758 MB/s	0 short_reads/s	0 short_writes_echo/s	75 cpu_user_milliseconds	921 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	46 preempts/s
34000 milliseconds	1628 MB/s	2 short_reads/s	0 short_writes_echo/s	77 cpu_user_milliseconds	892 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	3 yields/s	223 preempts/s
35000 milliseconds	1717 MB/s	0 short_reads/s	0 short_writes_echo/s	76 cpu_user_milliseconds	922 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	12 preempts/s
36000 milliseconds	1878 MB/s	0 short_reads/s	0 short_writes_echo/s	88 cpu_user_milliseconds	905 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	69 preempts/s
37000 milliseconds	1521 MB/s	5 short_reads/s	0 short_writes_echo/s	76 cpu_user_milliseconds	831 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	15 yields/s	549 preempts/s
38000 milliseconds	1674 MB/s	0 short_reads/s	0 short_writes_echo/s	81 cpu_user_milliseconds	903 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	130 preempts/s
39000 milliseconds	1190 MB/s	34 short_reads/s	0 short_writes_echo/s	57 cpu_user_milliseconds	691 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	57 yields/s	1699 preempts/s
40000 milliseconds	1256 MB/s	3 short_reads/s	0 short_writes_echo/s	74 cpu_user_milliseconds	723 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	14 yields/s	1126 preempts/s
41000 milliseconds	1780 MB/s	0 short_reads/s	0 short_writes_echo/s	67 cpu_user_milliseconds	926 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	62 preempts/s
