1000 milliseconds	692 MB/s	0 short_reads/s	0 short_writes_echo/s	149 cpu_user_milliseconds	580 cpu_system_milliseconds	173 minor_page_faults/s	0 major_page_faults/s	58033 yields/s	5 preempts/s
2000 milliseconds	961 MB/s	0 short_reads/s	0 short_writes_echo/s	201 cpu_user_milliseconds	700 cpu_system_milliseconds	3 minor_page_faults/s	0 major_page_faults/s	20952 yields/s	3 preempts/s
3000 milliseconds	1235 MB/s	0 short_reads/s	0 short_writes_echo/s	211 cpu_user_milliseconds	778 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	165 yields/s	8 preempts/s
4000 milliseconds	1228 MB/s	0 short_reads/s	0 short_writes_echo/s	214 cpu_user_milliseconds	784 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	5 preempts/s
5000 milliseconds	1241 MB/s	0 short_reads/s	0 short_writes_echo/s	214 cpu_user_milliseconds	783 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	24 preempts/s
6000 milliseconds	1258 MB/s	0 short_reads/s	0 short_writes_echo/s	212 cpu_user_milliseconds	785 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	31 preempts/s
7000 milliseconds	1208 MB/s	0 short_reads/s	0 short_writes_echo/s	216 cpu_user_milliseconds	767 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	221 yields/s	26 preempts/s
8000 milliseconds	1241 MB/s	0 short_reads/s	0 short_writes_echo/s	235 cpu_user_milliseconds	762 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	26 preempts/s
9000 milliseconds	1212 MB/s	0 short_reads/s	0 short_writes_echo/s	215 cpu_user_milliseconds	774 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	224 yields/s	27 preempts/s
10000 milliseconds	1246 MB/s	0 short_reads/s	0 short_writes_echo/s	213 cpu_user_milliseconds	784 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	27 preempts/s
11000 milliseconds	1223 MB/s	0 short_reads/s	0 short_writes_echo/s	209 cpu_user_milliseconds	790 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	4 preempts/s
12000 milliseconds	1218 MB/s	0 short_reads/s	0 short_writes_echo/s	232 cpu_user_milliseconds	752 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	245 yields/s	5 preempts/s
13000 milliseconds	1243 MB/s	0 short_reads/s	0 short_writes_echo/s	214 cpu_user_milliseconds	783 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	28 preempts/s
14000 milliseconds	1227 MB/s	0 short_reads/s	0 short_writes_echo/s	210 cpu_user_milliseconds	787 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	27 preempts/s
15000 milliseconds	1247 MB/s	0 short_reads/s	0 short_writes_echo/s	215 cpu_user_milliseconds	783 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	3 preempts/s
16000 milliseconds	1255 MB/s	0 short_reads/s	0 short_writes_echo/s	207 cpu_user_milliseconds	791 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	5 preempts/s
17000 milliseconds	1227 MB/s	0 short_reads/s	0 short_writes_echo/s	207 cpu_user_milliseconds	791 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	5 preempts/s
18000 milliseconds	1263 MB/s	0 short_reads/s	0 short_writes_echo/s	192 cpu_user_milliseconds	807 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	8 preempts/s
19000 milliseconds	1222 MB/s	0 short_reads/s	0 short_writes_echo/s	245 cpu_user_milliseconds	754 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	3 preempts/s
20000 milliseconds	1245 MB/s	0 short_reads/s	0 short_writes_echo/s	205 cpu_user_milliseconds	793 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	3 preempts/s
21000 milliseconds	1242 MB/s	0 short_reads/s	0 short_writes_echo/s	209 cpu_user_milliseconds	788 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	28 preempts/s
22000 milliseconds	1202 MB/s	0 short_reads/s	0 short_writes_echo/s	201 cpu_user_milliseconds	735 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	4761 yields/s	5 preempts/s
23000 milliseconds	1259 MB/s	1 short_reads/s	0 short_writes_echo/s	226 cpu_user_milliseconds	697 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	5660 yields/s	2 preempts/s
24000 milliseconds	1257 MB/s	7 short_reads/s	0 short_writes_echo/s	242 cpu_user_milliseconds	677 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	6457 yields/s	4 preempts/s
25000 milliseconds	1227 MB/s	5 short_reads/s	0 short_writes_echo/s	238 cpu_user_milliseconds	674 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	6429 yields/s	2 preempts/s
26000 milliseconds	1270 MB/s	0 short_reads/s	0 short_writes_echo/s	210 cpu_user_milliseconds	725 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	5183 yields/s	3 preempts/s
27000 milliseconds	1209 MB/s	0 short_reads/s	0 short_writes_echo/s	240 cpu_user_milliseconds	730 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	2250 yields/s	4 preempts/s
28000 milliseconds	1205 MB/s	0 short_reads/s	0 short_writes_echo/s	216 cpu_user_milliseconds	782 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	6 preempts/s
29000 milliseconds	1248 MB/s	0 short_reads/s	0 short_writes_echo/s	225 cpu_user_milliseconds	773 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	6 preempts/s
30000 milliseconds	1245 MB/s	0 short_reads/s	0 short_writes_echo/s	239 cpu_user_milliseconds	760 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	9 preempts/s
31000 milliseconds	1254 MB/s	0 short_reads/s	0 short_writes_echo/s	210 cpu_user_milliseconds	788 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	0 yields/s	9 preempts/s
