1000 milliseconds	3627 MB/s	57191 short_reads/s	0 short_writes_echo/s	84 cpu_user_milliseconds	654 cpu_system_milliseconds	176 minor_page_faults/s	0 major_page_faults/s	17365 yields/s	4 preempts/s
2000 milliseconds	3574 MB/s	56411 short_reads/s	0 short_writes_echo/s	93 cpu_user_milliseconds	633 cpu_system_milliseconds	2 minor_page_faults/s	0 major_page_faults/s	19169 yields/s	2 preempts/s
3000 milliseconds	3632 MB/s	56849 short_reads/s	0 short_writes_echo/s	101 cpu_user_milliseconds	625 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	18345 yields/s	1 preempts/s
4000 milliseconds	3583 MB/s	56597 short_reads/s	0 short_writes_echo/s	91 cpu_user_milliseconds	639 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	17589 yields/s	0 preempts/s
5000 milliseconds	3594 MB/s	56856 short_reads/s	0 short_writes_echo/s	115 cpu_user_milliseconds	606 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	19688 yields/s	0 preempts/s
6000 milliseconds	3440 MB/s	54440 short_reads/s	0 short_writes_echo/s	88 cpu_user_milliseconds	641 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	18248 yields/s	9 preempts/s
7000 milliseconds	3535 MB/s	55948 short_reads/s	0 short_writes_echo/s	98 cpu_user_milliseconds	636 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	18036 yields/s	0 preempts/s
8000 milliseconds	3661 MB/s	57946 short_reads/s	0 short_writes_echo/s	93 cpu_user_milliseconds	626 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	18134 yields/s	0 preempts/s
9000 milliseconds	3624 MB/s	57097 short_reads/s	0 short_writes_echo/s	96 cpu_user_milliseconds	632 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	17596 yields/s	0 preempts/s
10000 milliseconds	3544 MB/s	55853 short_reads/s	0 short_writes_echo/s	94 cpu_user_milliseconds	619 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	17350 yields/s	0 preempts/s
11000 milliseconds	3617 MB/s	57025 short_reads/s	0 short_writes_echo/s	94 cpu_user_milliseconds	633 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	17417 yields/s	0 preempts/s
12000 milliseconds	3555 MB/s	56000 short_reads/s	0 short_writes_echo/s	107 cpu_user_milliseconds	619 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	17892 yields/s	0 preempts/s
13000 milliseconds	3561 MB/s	55893 short_reads/s	0 short_writes_echo/s	93 cpu_user_milliseconds	645 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	16812 yields/s	0 preempts/s
14000 milliseconds	3548 MB/s	55782 short_reads/s	0 short_writes_echo/s	73 cpu_user_milliseconds	659 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	16549 yields/s	0 preempts/s
15000 milliseconds	3634 MB/s	57431 short_reads/s	0 short_writes_echo/s	93 cpu_user_milliseconds	630 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	17947 yields/s	2 preempts/s
16000 milliseconds	3587 MB/s	56964 short_reads/s	0 short_writes_echo/s	89 cpu_user_milliseconds	627 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	18412 yields/s	6 preempts/s
17000 milliseconds	3621 MB/s	57101 short_reads/s	0 short_writes_echo/s	100 cpu_user_milliseconds	622 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	18419 yields/s	0 preempts/s
18000 milliseconds	3571 MB/s	56432 short_reads/s	0 short_writes_echo/s	88 cpu_user_milliseconds	634 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	18712 yields/s	1 preempts/s
