1000 milliseconds	3684 MB/s	74778 short_reads/s	0 short_writes_echo/s	123 cpu_user_milliseconds	743 cpu_system_milliseconds	171 minor_page_faults/s	0 major_page_faults/s	20949 yields/s	3 preempts/s
2000 milliseconds	3609 MB/s	73262 short_reads/s	0 short_writes_echo/s	118 cpu_user_milliseconds	734 cpu_system_milliseconds	3 minor_page_faults/s	0 major_page_faults/s	27495 yields/s	0 preempts/s
3000 milliseconds	3631 MB/s	73721 short_reads/s	0 short_writes_echo/s	122 cpu_user_milliseconds	729 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	27496 yields/s	0 preempts/s
4000 milliseconds	3625 MB/s	73536 short_reads/s	0 short_writes_echo/s	113 cpu_user_milliseconds	737 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	26393 yields/s	0 preempts/s
5000 milliseconds	3461 MB/s	69958 short_reads/s	0 short_writes_echo/s	99 cpu_user_milliseconds	749 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	29714 yields/s	1 preempts/s
6000 milliseconds	3521 MB/s	71576 short_reads/s	0 short_writes_echo/s	122 cpu_user_milliseconds	731 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	32235 yields/s	0 preempts/s
7000 milliseconds	3531 MB/s	71726 short_reads/s	0 short_writes_echo/s	110 cpu_user_milliseconds	747 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	31624 yields/s	0 preempts/s
8000 milliseconds	3515 MB/s	71339 short_reads/s	0 short_writes_echo/s	119 cpu_user_milliseconds	737 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	31790 yields/s	0 preempts/s
9000 milliseconds	3543 MB/s	71954 short_reads/s	0 short_writes_echo/s	108 cpu_user_milliseconds	748 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	31967 yields/s	0 preempts/s
10000 milliseconds	3446 MB/s	69011 short_reads/s	0 short_writes_echo/s	111 cpu_user_milliseconds	747 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	29839 yields/s	1 preempts/s
11000 milliseconds	3521 MB/s	71455 short_reads/s	0 short_writes_echo/s	124 cpu_user_milliseconds	735 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	31436 yields/s	0 preempts/s
12000 milliseconds	3346 MB/s	67871 short_reads/s	0 short_writes_echo/s	120 cpu_user_milliseconds	711 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	30692 yields/s	0 preempts/s
13000 milliseconds	3484 MB/s	70693 short_reads/s	0 short_writes_echo/s	119 cpu_user_milliseconds	736 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	32049 yields/s	13 preempts/s
14000 milliseconds	3510 MB/s	71249 short_reads/s	0 short_writes_echo/s	106 cpu_user_milliseconds	749 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	32031 yields/s	0 preempts/s
15000 milliseconds	3389 MB/s	68643 short_reads/s	0 short_writes_echo/s	125 cpu_user_milliseconds	735 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	29241 yields/s	0 preempts/s
16000 milliseconds	2932 MB/s	59095 short_reads/s	0 short_writes_echo/s	126 cpu_user_milliseconds	611 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	29156 yields/s	25 preempts/s
17000 milliseconds	2900 MB/s	58713 short_reads/s	0 short_writes_echo/s	85 cpu_user_milliseconds	655 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	29047 yields/s	15 preempts/s
18000 milliseconds	2875 MB/s	58152 short_reads/s	0 short_writes_echo/s	101 cpu_user_milliseconds	639 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	29156 yields/s	0 preempts/s
19000 milliseconds	2901 MB/s	58730 short_reads/s	0 short_writes_echo/s	100 cpu_user_milliseconds	629 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	29820 yields/s	15 preempts/s
20000 milliseconds	3167 MB/s	63630 short_reads/s	0 short_writes_echo/s	113 cpu_user_milliseconds	702 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	29570 yields/s	0 preempts/s
21000 milliseconds	3273 MB/s	66310 short_reads/s	0 short_writes_echo/s	112 cpu_user_milliseconds	710 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	31760 yields/s	21 preempts/s
22000 milliseconds	2909 MB/s	58855 short_reads/s	0 short_writes_echo/s	97 cpu_user_milliseconds	635 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	29651 yields/s	1 preempts/s
23000 milliseconds	2921 MB/s	59150 short_reads/s	0 short_writes_echo/s	105 cpu_user_milliseconds	631 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	29809 yields/s	0 preempts/s
24000 milliseconds	2855 MB/s	57622 short_reads/s	0 short_writes_echo/s	98 cpu_user_milliseconds	643 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	28941 yields/s	0 preempts/s
25000 milliseconds	2709 MB/s	54245 short_reads/s	0 short_writes_echo/s	106 cpu_user_milliseconds	655 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	25795 yields/s	4 preempts/s
26000 milliseconds	2946 MB/s	59699 short_reads/s	0 short_writes_echo/s	103 cpu_user_milliseconds	641 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	29741 yields/s	0 preempts/s
27000 milliseconds	2918 MB/s	59262 short_reads/s	0 short_writes_echo/s	101 cpu_user_milliseconds	637 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	30045 yields/s	0 preempts/s
28000 milliseconds	2916 MB/s	59086 short_reads/s	0 short_writes_echo/s	111 cpu_user_milliseconds	626 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	29339 yields/s	0 preempts/s
