1000 milliseconds	3577 MB/s	59766 short_reads/s	0 short_writes_echo/s	109 cpu_user_milliseconds	669 cpu_system_milliseconds	178 minor_page_faults/s	0 major_page_faults/s	22007 yields/s	25 preempts/s
2000 milliseconds	3653 MB/s	60974 short_reads/s	0 short_writes_echo/s	108 cpu_user_milliseconds	666 cpu_system_milliseconds	2 minor_page_faults/s	0 major_page_faults/s	22984 yields/s	0 preempts/s
3000 milliseconds	3590 MB/s	59198 short_reads/s	0 short_writes_echo/s	107 cpu_user_milliseconds	681 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	20396 yields/s	28 preempts/s
4000 milliseconds	3695 MB/s	61428 short_reads/s	0 short_writes_echo/s	96 cpu_user_milliseconds	678 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	22570 yields/s	0 preempts/s
5000 milliseconds	3667 MB/s	60806 short_reads/s	0 short_writes_echo/s	103 cpu_user_milliseconds	676 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	21301 yields/s	0 preempts/s
6000 milliseconds	3642 MB/s	60776 short_reads/s	0 short_writes_echo/s	112 cpu_user_milliseconds	660 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	22815 yields/s	0 preempts/s
7000 milliseconds	3660 MB/s	60976 short_reads/s	0 short_writes_echo/s	112 cpu_user_milliseconds	663 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	23038 yields/s	0 preempts/s
8000 milliseconds	3613 MB/s	60340 short_reads/s	0 short_writes_echo/s	108 cpu_user_milliseconds	667 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	21296 yields/s	0 preempts/s
9000 milliseconds	3644 MB/s	60603 short_reads/s	0 short_writes_echo/s	113 cpu_user_milliseconds	663 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	21480 yields/s	19 preempts/s
10000 milliseconds	3648 MB/s	60870 short_reads/s	0 short_writes_echo/s	101 cpu_user_milliseconds	671 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	24390 yields/s	0 preempts/s
11000 milliseconds	3613 MB/s	60178 short_reads/s	0 short_writes_echo/s	91 cpu_user_milliseconds	693 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	20643 yields/s	50 preempts/s
12000 milliseconds	3664 MB/s	61199 short_reads/s	0 short_writes_echo/s	99 cpu_user_milliseconds	674 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	23459 yields/s	2 preempts/s
13000 milliseconds	3642 MB/s	60346 short_reads/s	0 short_writes_echo/s	100 cpu_user_milliseconds	688 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	20568 yields/s	0 preempts/s
14000 milliseconds	3637 MB/s	60870 short_reads/s	0 short_writes_echo/s	121 cpu_user_milliseconds	653 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	22744 yields/s	0 preempts/s
15000 milliseconds	3650 MB/s	61004 short_reads/s	0 short_writes_echo/s	107 cpu_user_milliseconds	662 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	22927 yields/s	0 preempts/s
16000 milliseconds	3666 MB/s	61106 short_reads/s	0 short_writes_echo/s	106 cpu_user_milliseconds	669 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	23303 yields/s	1 preempts/s
17000 milliseconds	3619 MB/s	60671 short_reads/s	0 short_writes_echo/s	117 cpu_user_milliseconds	657 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	22271 yields/s	10 preempts/s
18000 milliseconds	3597 MB/s	59716 short_reads/s	0 short_writes_echo/s	102 cpu_user_milliseconds	685 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	20955 yields/s	1 preempts/s
19000 milliseconds	3744 MB/s	61698 short_reads/s	0 short_writes_echo/s	90 cpu_user_milliseconds	693 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	21486 yields/s	0 preempts/s
20000 milliseconds	3627 MB/s	60420 short_reads/s	0 short_writes_echo/s	98 cpu_user_milliseconds	674 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	23109 yields/s	0 preempts/s
21000 milliseconds	3659 MB/s	60696 short_reads/s	0 short_writes_echo/s	105 cpu_user_milliseconds	674 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	22156 yields/s	0 preempts/s
22000 milliseconds	3623 MB/s	59846 short_reads/s	0 short_writes_echo/s	98 cpu_user_milliseconds	675 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	20417 yields/s	0 preempts/s
