1000 milliseconds	1816 MB/s	33066 short_reads/s	0 short_writes_echo/s	77 cpu_user_milliseconds	1040 cpu_system_milliseconds	170 minor_page_faults/s	0 major_page_faults/s	85152 yields/s	2827 preempts/s
2000 milliseconds	1953 MB/s	35883 short_reads/s	0 short_writes_echo/s	106 cpu_user_milliseconds	1078 cpu_system_milliseconds	3 minor_page_faults/s	0 major_page_faults/s	93866 yields/s	400 preempts/s
3000 milliseconds	1892 MB/s	30488 short_reads/s	0 short_writes_echo/s	101 cpu_user_milliseconds	1069 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	84242 yields/s	2087 preempts/s
4000 milliseconds	1970 MB/s	36928 short_reads/s	0 short_writes_echo/s	121 cpu_user_milliseconds	1068 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	96680 yields/s	14 preempts/s
5000 milliseconds	1967 MB/s	37402 short_reads/s	0 short_writes_echo/s	116 cpu_user_milliseconds	1059 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	96142 yields/s	84 preempts/s
6000 milliseconds	1925 MB/s	30650 short_reads/s	0 short_writes_echo/s	111 cpu_user_milliseconds	1099 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	86665 yields/s	574 preempts/s
7000 milliseconds	1935 MB/s	39551 short_reads/s	0 short_writes_echo/s	105 cpu_user_milliseconds	1050 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	97835 yields/s	937 preempts/s
8000 milliseconds	1985 MB/s	36320 short_reads/s	0 short_writes_echo/s	104 cpu_user_milliseconds	1088 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	95621 yields/s	28 preempts/s
9000 milliseconds	1900 MB/s	29962 short_reads/s	0 short_writes_echo/s	82 cpu_user_milliseconds	1140 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	86236 yields/s	353 preempts/s
10000 milliseconds	1905 MB/s	40657 short_reads/s	0 short_writes_echo/s	116 cpu_user_milliseconds	1016 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	100297 yields/s	602 preempts/s
11000 milliseconds	1936 MB/s	37479 short_reads/s	0 short_writes_echo/s	127 cpu_user_milliseconds	1039 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	96408 yields/s	85 preempts/s
12000 milliseconds	1952 MB/s	39484 short_reads/s	0 short_writes_echo/s	124 cpu_user_milliseconds	1034 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	99305 yields/s	265 preempts/s
13000 milliseconds	1961 MB/s	38386 short_reads/s	0 short_writes_echo/s	88 cpu_user_milliseconds	1083 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	97988 yields/s	72 preempts/s
14000 milliseconds	1978 MB/s	33474 short_reads/s	0 short_writes_echo/s	123 cpu_user_milliseconds	1089 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	90229 yields/s	249 preempts/s
15000 milliseconds	1905 MB/s	35164 short_reads/s	0 short_writes_echo/s	114 cpu_user_milliseconds	1058 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	93946 yields/s	94 preempts/s
16000 milliseconds	1932 MB/s	34544 short_reads/s	0 short_writes_echo/s	118 cpu_user_milliseconds	1042 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	90396 yields/s	1242 preempts/s
17000 milliseconds	1988 MB/s	40015 short_reads/s	0 short_writes_echo/s	105 cpu_user_milliseconds	1048 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	98086 yields/s	1098 preempts/s
18000 milliseconds	1967 MB/s	36339 short_reads/s	0 short_writes_echo/s	101 cpu_user_milliseconds	1079 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	94762 yields/s	19 preempts/s
19000 milliseconds	1947 MB/s	39852 short_reads/s	0 short_writes_echo/s	118 cpu_user_milliseconds	1040 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	99830 yields/s	248 preempts/s
20000 milliseconds	1943 MB/s	41294 short_reads/s	0 short_writes_echo/s	123 cpu_user_milliseconds	1020 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	102055 yields/s	134 preempts/s
21000 milliseconds	1934 MB/s	34845 short_reads/s	0 short_writes_echo/s	106 cpu_user_milliseconds	1080 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	92477 yields/s	21 preempts/s
22000 milliseconds	2073 MB/s	35865 short_reads/s	0 short_writes_echo/s	116 cpu_user_milliseconds	1084 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	89892 yields/s	854 preempts/s
23000 milliseconds	1938 MB/s	36089 short_reads/s	0 short_writes_echo/s	97 cpu_user_milliseconds	1085 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	94860 yields/s	69 preempts/s
24000 milliseconds	1981 MB/s	44582 short_reads/s	0 short_writes_echo/s	126 cpu_user_milliseconds	995 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	106025 yields/s	518 preempts/s
25000 milliseconds	1950 MB/s	35320 short_reads/s	0 short_writes_echo/s	102 cpu_user_milliseconds	1084 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	93244 yields/s	417 preempts/s
26000 milliseconds	1982 MB/s	41572 short_reads/s	0 short_writes_echo/s	128 cpu_user_milliseconds	1023 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	102116 yields/s	134 preempts/s
27000 milliseconds	1997 MB/s	38813 short_reads/s	0 short_writes_echo/s	82 cpu_user_milliseconds	1079 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	95668 yields/s	1412 preempts/s
28000 milliseconds	1944 MB/s	31701 short_reads/s	0 short_writes_echo/s	100 cpu_user_milliseconds	1094 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	86238 yields/s	726 preempts/s
29000 milliseconds	1952 MB/s	37234 short_reads/s	0 short_writes_echo/s	106 cpu_user_milliseconds	1066 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	95922 yields/s	95 preempts/s
30000 milliseconds	1927 MB/s	35650 short_reads/s	0 short_writes_echo/s	99 cpu_user_milliseconds	1074 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	92856 yields/s	666 preempts/s
31000 milliseconds	1920 MB/s	34674 short_reads/s	0 short_writes_echo/s	115 cpu_user_milliseconds	1076 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	92413 yields/s	606 preempts/s
32000 milliseconds	1900 MB/s	32806 short_reads/s	0 short_writes_echo/s	107 cpu_user_milliseconds	1094 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	90047 yields/s	68 preempts/s
33000 milliseconds	1942 MB/s	40191 short_reads/s	0 short_writes_echo/s	113 cpu_user_milliseconds	1035 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	100191 yields/s	120 preempts/s
34000 milliseconds	2071 MB/s	37571 short_reads/s	0 short_writes_echo/s	115 cpu_user_milliseconds	1086 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	94596 yields/s	260 preempts/s
35000 milliseconds	1978 MB/s	37693 short_reads/s	0 short_writes_echo/s	110 cpu_user_milliseconds	1064 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	97340 yields/s	181 preempts/s
36000 milliseconds	1799 MB/s	32482 short_reads/s	0 short_writes_echo/s	98 cpu_user_milliseconds	1010 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	85279 yields/s	1394 preempts/s
37000 milliseconds	1975 MB/s	39012 short_reads/s	0 short_writes_echo/s	117 cpu_user_milliseconds	1044 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	97735 yields/s	49 preempts/s
38000 milliseconds	1980 MB/s	35511 short_reads/s	0 short_writes_echo/s	105 cpu_user_milliseconds	1083 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	94322 yields/s	80 preempts/s
39000 milliseconds	1993 MB/s	39325 short_reads/s	0 short_writes_echo/s	109 cpu_user_milliseconds	1059 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	98530 yields/s	74 preempts/s
40000 milliseconds	1961 MB/s	37200 short_reads/s	0 short_writes_echo/s	97 cpu_user_milliseconds	1079 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	96163 yields/s	112 preempts/s
41000 milliseconds	2002 MB/s	37829 short_reads/s	0 short_writes_echo/s	126 cpu_user_milliseconds	1054 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	96414 yields/s	356 preempts/s
42000 milliseconds	1961 MB/s	37938 short_reads/s	0 short_writes_echo/s	107 cpu_user_milliseconds	1055 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	96082 yields/s	500 preempts/s
43000 milliseconds	1942 MB/s	37455 short_reads/s	0 short_writes_echo/s	109 cpu_user_milliseconds	1067 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	96697 yields/s	145 preempts/s
44000 milliseconds	2006 MB/s	35485 short_reads/s	0 short_writes_echo/s	100 cpu_user_milliseconds	1095 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	92766 yields/s	560 preempts/s
45000 milliseconds	1946 MB/s	39530 short_reads/s	0 short_writes_echo/s	128 cpu_user_milliseconds	1023 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	99790 yields/s	33 preempts/s
46000 milliseconds	1993 MB/s	35982 short_reads/s	0 short_writes_echo/s	100 cpu_user_milliseconds	1086 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	93504 yields/s	94 preempts/s
47000 milliseconds	1924 MB/s	39238 short_reads/s	0 short_writes_echo/s	114 cpu_user_milliseconds	1032 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	98442 yields/s	571 preempts/s
