1000 milliseconds	1705 MB/s	0 short_reads/s	0 short_writes_echo/s	172 cpu_user_milliseconds	724 cpu_system_milliseconds	182 minor_page_faults/s	0 major_page_faults/s	30246 yields/s	132 preempts/s
2000 milliseconds	1946 MB/s	0 short_reads/s	0 short_writes_echo/s	228 cpu_user_milliseconds	739 cpu_system_milliseconds	2 minor_page_faults/s	0 major_page_faults/s	8711 yields/s	23 preempts/s
3000 milliseconds	1861 MB/s	0 short_reads/s	0 short_writes_echo/s	183 cpu_user_milliseconds	778 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	9873 yields/s	48 preempts/s
4000 milliseconds	1813 MB/s	0 short_reads/s	0 short_writes_echo/s	193 cpu_user_milliseconds	763 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	10869 yields/s	5 preempts/s
5000 milliseconds	2130 MB/s	0 short_reads/s	0 short_writes_echo/s	175 cpu_user_milliseconds	802 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1673 yields/s	6 preempts/s
6000 milliseconds	2140 MB/s	0 short_reads/s	0 short_writes_echo/s	186 cpu_user_milliseconds	804 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	3088 yields/s	0 preempts/s
7000 milliseconds	2154 MB/s	0 short_reads/s	0 short_writes_echo/s	189 cpu_user_milliseconds	802 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	541 yields/s	5 preempts/s
8000 milliseconds	2106 MB/s	0 short_reads/s	0 short_writes_echo/s	176 cpu_user_milliseconds	816 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	694 yields/s	5 preempts/s
9000 milliseconds	2123 MB/s	0 short_reads/s	0 short_writes_echo/s	183 cpu_user_milliseconds	814 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	544 yields/s	4 preempts/s
10000 milliseconds	2120 MB/s	0 short_reads/s	0 short_writes_echo/s	176 cpu_user_milliseconds	820 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	229 yields/s	19 preempts/s
11000 milliseconds	2120 MB/s	0 short_reads/s	0 short_writes_echo/s	186 cpu_user_milliseconds	801 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	2146 yields/s	51 preempts/s
12000 milliseconds	2183 MB/s	0 short_reads/s	0 short_writes_echo/s	185 cpu_user_milliseconds	811 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	879 yields/s	7 preempts/s
13000 milliseconds	2147 MB/s	0 short_reads/s	0 short_writes_echo/s	185 cpu_user_milliseconds	810 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	503 yields/s	0 preempts/s
14000 milliseconds	2138 MB/s	0 short_reads/s	0 short_writes_echo/s	188 cpu_user_milliseconds	804 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1288 yields/s	0 preempts/s
15000 milliseconds	2163 MB/s	0 short_reads/s	0 short_writes_echo/s	180 cpu_user_milliseconds	815 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	926 yields/s	0 preempts/s
