1000 milliseconds	3629 MB/s	4130 short_reads/s	0 short_writes_echo/s	72 cpu_user_milliseconds	919 cpu_system_milliseconds	194 minor_page_faults/s	0 major_page_faults/s	632 yields/s	72 preempts/s
2000 milliseconds	3743 MB/s	230 short_reads/s	0 short_writes_echo/s	76 cpu_user_milliseconds	921 cpu_system_milliseconds	2 minor_page_faults/s	0 major_page_faults/s	187 yields/s	4 preempts/s
3000 milliseconds	3700 MB/s	2796 short_reads/s	0 short_writes_echo/s	66 cpu_user_milliseconds	915 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1360 yields/s	22 preempts/s
4000 milliseconds	3643 MB/s	1712 short_reads/s	0 short_writes_echo/s	76 cpu_user_milliseconds	909 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1264 yields/s	7 preempts/s
5000 milliseconds	3685 MB/s	716 short_reads/s	0 short_writes_echo/s	68 cpu_user_milliseconds	917 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1052 yields/s	3 preempts/s
6000 milliseconds	3717 MB/s	1150 short_reads/s	0 short_writes_echo/s	73 cpu_user_milliseconds	922 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	219 yields/s	2 preempts/s
7000 milliseconds	3690 MB/s	1804 short_reads/s	0 short_writes_echo/s	72 cpu_user_milliseconds	917 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	834 yields/s	5 preempts/s
8000 milliseconds	3779 MB/s	494 short_reads/s	0 short_writes_echo/s	58 cpu_user_milliseconds	938 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	421 yields/s	2 preempts/s
9000 milliseconds	3694 MB/s	1784 short_reads/s	0 short_writes_echo/s	73 cpu_user_milliseconds	912 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1524 yields/s	1 preempts/s
10000 milliseconds	3752 MB/s	269 short_reads/s	0 short_writes_echo/s	65 cpu_user_milliseconds	919 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1189 yields/s	2 preempts/s
11000 milliseconds	3748 MB/s	110 short_reads/s	0 short_writes_echo/s	73 cpu_user_milliseconds	909 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1202 yields/s	2 preempts/s
12000 milliseconds	3773 MB/s	120 short_reads/s	0 short_writes_echo/s	78 cpu_user_milliseconds	901 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1695 yields/s	1 preempts/s
13000 milliseconds	3734 MB/s	967 short_reads/s	0 short_writes_echo/s	67 cpu_user_milliseconds	918 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1417 yields/s	2 preempts/s
14000 milliseconds	3666 MB/s	984 short_reads/s	0 short_writes_echo/s	59 cpu_user_milliseconds	915 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	2961 yields/s	0 preempts/s
15000 milliseconds	3713 MB/s	2277 short_reads/s	0 short_writes_echo/s	83 cpu_user_milliseconds	913 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	462 yields/s	7 preempts/s
16000 milliseconds	3722 MB/s	556 short_reads/s	0 short_writes_echo/s	83 cpu_user_milliseconds	899 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1502 yields/s	2 preempts/s
17000 milliseconds	3711 MB/s	2995 short_reads/s	0 short_writes_echo/s	83 cpu_user_milliseconds	907 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	749 yields/s	21 preempts/s
18000 milliseconds	3723 MB/s	944 short_reads/s	0 short_writes_echo/s	68 cpu_user_milliseconds	925 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	562 yields/s	25 preempts/s
19000 milliseconds	3593 MB/s	7506 short_reads/s	0 short_writes_echo/s	87 cpu_user_milliseconds	896 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1555 yields/s	32 preempts/s
20000 milliseconds	3638 MB/s	709 short_reads/s	0 short_writes_echo/s	82 cpu_user_milliseconds	896 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	1728 yields/s	2 preempts/s
21000 milliseconds	3692 MB/s	1072 short_reads/s	0 short_writes_echo/s	85 cpu_user_milliseconds	906 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	566 yields/s	26 preempts/s
22000 milliseconds	3733 MB/s	375 short_reads/s	0 short_writes_echo/s	67 cpu_user_milliseconds	931 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	122 yields/s	1 preempts/s
23000 milliseconds	3726 MB/s	852 short_reads/s	0 short_writes_echo/s	65 cpu_user_milliseconds	923 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	880 yields/s	3 preempts/s
24000 milliseconds	3618 MB/s	1672 short_reads/s	0 short_writes_echo/s	69 cpu_user_milliseconds	924 cpu_system_milliseconds	0 minor_page_faults/s	0 major_page_faults/s	917 yields/s	4 preempts/s
